China, 1211, 71, 13
Japan, 489, 81, 1.26
Nigeria, 70, 46, 1.22
India, 468, 62, 10
Brazil, 655, 70, 1.74
Germany, 1943, 78, 0.82
France, 1362, 79, 0.6
United States, 10250, 76, 2.82
Argentina, 97, 73, 1
Chile, 77, 76, .16
Colombia, 100, 73, 2 
Peru, 51, 71, .28
Norway, 171.2, 74, 0.5
Sweden, 261.3, 74, 1
Finland, 125.7, 72, 0.5
Malaysia, 94, 73, 1
Singapore, 96, 78, 1 
Indonesia, 165, 66, 1
