China, 735, 69, 11
Japan, 545, 79, 1.25
Nigeria, 44, 46, 1.08
India, 360, 60, 8
Brazil, 850, 68, 1.62
Germany, 2586, 76, 1
France, 1601, 77, 1
United States, 7460, 75, 2.66
Argentina, 258, 72, 1
Chile, 73, 75, 1
Colombia, 92, 71, 2 
Peru, 53, 69, 1
Norway, 152, 79, 1
Sweden, 265, 78, 1 
Finland, 134, 76, 1
Malaysia, 89, 72, 1
Singapore, 88, 76, 1 
Indonesia, 202, 64, 1
