China, 163, 64, 9
Japan, 59, 75, 1
Nigeria, 28, 43, 3
India, 98, 51, 6
Brazil, 124, 60, 1.07
Germany, 490, 71, 1
France, 361, 72, 0.53
United States, 1685, 72, 2.16
Argentina, 52, 68, 1
Chile, 8, 66, 1
Colombia, 13, 65, 2 
Peru, 17, 58, 1
Norway, 33, 74, 1
Sweden, 82, 74, 1
Finland, 29, 72, 1
Malaysia, 9, 66, 1
Singapore, 6, 70, 0.1
Indonesia, 30, 55, 1
